city_id,city,country,date,latitude,longitude,temperature,max temperature,humidity,cloudiness,wind speed
552,Kovdor,RU,1610068611,67.5662,30.4758,4.15,4.15,94,25,4.29
553,Marzuq,YE,1610068612,14.4,46.4667,50.65,50.65,47,0,2.91
554,Kidal,ML,1610068614,18.4411,1.4078,74.61,74.61,17,0,9.82
555,Bulungu,CD,1610068615,-4.55,18.6,67.73,67.73,94,100,1.54
556,Nekā,IR,1610068616,36.6508,53.299,39.78,39.78,69,75,2.26
557,Mezhova,UA,1610068617,48.2532,36.7347,40.59,40.59,82,68,16.98
558,Lima,PE,1610068503,-12.0432,-77.0282,69.4,69.8,83,20,12.66
559,Creel,MX,1610068620,27.75,-107.6333,43.03,43.03,55,57,4.88
560,Bataiporã,BR,1610068621,-22.2953,-53.2711,73.38,73.38,90,95,3.15
561,Keetmanshoop,NA,1610068347,-26.5833,18.1333,75.2,75.2,43,56,6.91
562,Pedernales,DO,1610068623,18.0384,-71.744,76.15,76.15,73,0,4.14
563,Hobyo,SO,1610068625,5.3505,48.5268,73.89,73.89,69,0,19.89
564,Minsk,BY,1610068422,53.9,27.5667,28.2,28.4,100,75,6.71
565,Iqaluit,CA,1610068627,63.7506,-68.5145,-20.09,-20.0,69,1,3.44
566,Grenville,GD,1610068628,12.1167,-61.6167,78.8,78.8,83,20,14.97
567,Ingham,US,1610068602,42.6,-84.3833,30.27,32.0,80,90,8.05
568,Belmonte,BR,1610068631,-15.8631,-38.8828,78.8,78.8,73,40,8.05
569,Sinnamary,GF,1610068632,5.3833,-52.95,78.15,78.15,87,100,11.43
570,Deputatsky,RU,1610068633,69.3,139.9,-15.41,-15.41,89,100,4.68
571,Santa Maria,BR,1610068565,-29.6842,-53.8069,80.6,80.6,50,0,4.61
572,Pietermaritzburg,ZA,1610068636,-29.6168,30.3928,66.42,71.01,95,16,3.74
573,Aswān,EG,1610068637,24.0934,32.907,63.84,63.84,38,0,6.76
574,La Libertad,EC,1610068638,-2.2333,-80.9,74.08,74.08,79,93,8.84
575,Manaure,CO,1610068639,11.7751,-72.4445,80.17,80.17,77,100,17.78
576,Morehead,US,1610068640,37.2711,-87.1764,38.03,39.0,56,75,4.61
577,Leh,IN,1610068642,34.1667,77.5833,8.47,8.47,78,93,2.84
578,Alugan,PH,1610068643,12.2188,125.4808,78.1,78.1,93,100,11.01
579,Uruaçu,BR,1610068644,-14.5247,-49.1408,73.8,73.8,84,60,2.19
580,Nizhniy Odes,RU,1610068645,63.6445,54.856,-11.31,-11.31,90,0,4.94
